,account_value,date,daily_return,datadate
134,753656.1736144263,2022-07-18,-0.0097650100139411,2022-07-18
135,767046.7970984579,2022-07-19,0.017767549650409,2022-07-19
136,768000.7121222616,2022-07-20,0.0012436203728536,2022-07-20
137,771418.0355437399,2022-07-21,0.004449635745825,2022-07-21
138,761134.293154061,2022-07-22,-0.0133309592410947,2022-07-22
139,761021.6096518637,2022-07-25,-0.0001480468075223,2022-07-25
140,749716.3516066672,2022-07-26,-0.0148553705989613,2022-07-26
141,769755.0340788962,2022-07-27,0.0267283519017365,2022-07-27
142,780216.5064032675,2022-07-28,0.0135906513906591,2022-07-28
143,787108.2954123617,2022-07-29,0.0088331750899053,2022-07-29
144,786321.1952015081,2022-08-01,-0.0009999897287846,2022-08-01
145,783499.1143356482,2022-08-02,-0.0035889670570773,2022-08-02
146,789706.3836891332,2022-08-03,0.0079224969625502,2022-08-03
147,785370.9825435797,2022-08-04,-0.0054898899579621,2022-08-04
148,787716.1728730932,2022-08-05,0.0029860924093707,2022-08-05
149,788694.9352071997,2022-08-08,0.0012425317237509,2022-08-08
150,786660.1743396765,2022-08-09,-0.0025799086271406,2022-08-09
151,801010.9519353491,2022-08-10,0.0182426644487483,2022-08-10
152,800397.9181259657,2022-08-11,-0.00076532512808,2022-08-11
153,809144.0261287428,2022-08-12,0.0109271998398685,2022-08-12
154,815025.744321797,2022-08-15,0.007269062123828,2022-08-15
155,822011.5612544753,2022-08-16,0.0085712837678413,2022-08-16
156,814948.4994601943,2022-08-17,-0.0085924117460124,2022-08-17
157,815023.9097537734,2022-08-18,9.253381487184242e-05,2022-08-18
158,804904.2185497023,2022-08-19,-0.0124164347609486,2022-08-19
159,788214.5839538313,2022-08-22,-0.0207349324444376,2022-08-22
160,783211.0842189528,2022-08-23,-0.0063478903292807,2022-08-23
161,785529.4533652999,2022-08-24,0.0029600821452355,2022-08-24
162,795506.0351524092,2022-08-25,0.0127004553990541,2022-08-25
163,771229.6989574172,2022-08-26,-0.0305168472924797,2022-08-26
164,767482.2374782301,2022-08-29,-0.0048590730935971,2022-08-29
165,760560.5271949507,2022-08-30,-0.009018723750562,2022-08-30
166,753676.439830754,2022-08-31,-0.00905133400702,2022-08-31
167,753138.328514073,2022-09-01,-0.0007139818737093,2022-09-01
168,744254.1529330947,2022-09-02,-0.0117962069444887,2022-09-02
169,739791.9302215315,2022-09-06,-0.0059955630666991,2022-09-06
170,752764.8059882857,2022-09-07,0.0175358438458086,2022-09-07
171,756582.223417256,2022-09-08,0.0050711954100437,2022-09-08
172,766918.271457646,2022-09-09,0.0136614999936228,2022-09-09
173,772472.5590362288,2022-09-12,0.0072423461342574,2022-09-12
174,737642.8651504256,2022-09-13,-0.0450885840258951,2022-09-13
175,737207.2449149825,2022-09-14,-0.0005905571056452,2022-09-14
176,730190.3143272139,2022-09-15,-0.009518260483967,2022-09-15
177,725624.8631496169,2022-09-16,-0.0062524126765548,2022-09-16
178,729166.7941322066,2022-09-19,0.0048812150223405,2022-09-19
179,722941.6992892958,2022-09-20,-0.008537271435021,2022-09-20
180,711291.6752662398,2022-09-21,-0.0161147489963697,2022-09-21
181,703859.72358701,2022-09-22,-0.0104485289757509,2022-09-22
182,691351.9297256209,2022-09-23,-0.017770293486388,2022-09-23
183,681758.4268016554,2022-09-26,-0.0138764390630584,2022-09-26
184,676905.0144042708,2022-09-27,-0.0071189620935872,2022-09-27
185,692837.3583297469,2022-09-28,0.0235370452078831,2022-09-28
186,678488.6254482009,2022-09-29,-0.0207101027521626,2022-09-29
187,666806.7359256484,2022-09-30,-0.017217517117307,2022-09-30
188,685634.459903691,2022-10-03,0.0282356535464602,2022-10-03
189,707425.1522922255,2022-10-04,,2022-10-04
190,704344.8676551024,2022-10-05,-0.0043542198452264,2022-10-05
191,695286.1617081095,2022-10-06,-0.0128611797472891,2022-10-06
192,677317.8483979594,2022-10-07,-0.0258430475101179,2022-10-07
193,673542.6540457942,2022-10-10,-0.0055737411336413,2022-10-10
194,671690.5720995661,2022-10-11,-0.0027497619268848,2022-10-11
195,670340.447804484,2022-10-12,-0.0020100390732921,2022-10-12
196,687382.656039271,2022-10-13,0.0254232133695706,2022-10-13
197,678632.2438822123,2022-10-14,-0.0127300450195804,2022-10-14
198,692421.5160131785,2022-10-17,0.0203192115542325,2022-10-17
199,699276.329035792,2022-10-18,0.0098997689472188,2022-10-18
200,693964.4369860026,2022-10-19,-0.0075962703572617,2022-10-19
201,690508.1393976542,2022-10-20,-0.0049805111099924,2022-10-20
202,702953.4456682536,2022-10-21,0.0180234027095693,2022-10-21
203,714293.4217043254,2022-10-24,0.0161319019146304,2022-10-24
204,723483.7367048594,2022-10-25,0.0128663021683801,2022-10-25
205,719226.2984361979,2022-10-26,-0.0058846357598197,2022-10-26
206,717785.2673120829,2022-10-27,-0.0020035851403767,2022-10-27
207,734785.2071810099,2022-10-28,0.0236838796268239,2022-10-28
208,732692.30285171,2022-10-31,-0.0028483212629297,2022-10-31
209,728799.9028349253,2022-11-01,-0.0053124620002626,2022-11-01
210,719500.3920126292,2022-11-02,-0.012760033016089,2022-11-02
211,712211.4226751658,2022-11-03,-0.0101305981461305,2022-11-03
212,721795.9326982829,2022-11-04,0.0134573944168381,2022-11-04
213,733754.6963968608,2022-11-07,0.0165680674506887,2022-11-07
214,739442.6660204264,2022-11-08,0.0077518680991028,2022-11-08
215,726934.2061701152,2022-11-09,-0.0169160645241502,2022-11-09
216,757327.9399538371,2022-11-10,0.0418108455012078,2022-11-10
